0,Date,Price,Open,High,Low,Volume,Chg%
697,"May 23, 2010",513.46,504.22,519.55,486.76,50.14M,4.13%
698,"May 16, 2010",493.10,512.49,512.49,483.47,46.10M,-4.61%
699,"May 09, 2010",516.93,520.57,541.57,512.64,50.66M,1.05%
700,"May 02, 2010",511.55,508.18,525.02,483.42,64.97M,-0.08%
701,"Apr 25, 2010",511.95,534.93,543.75,501.25,50.77M,-5.02%
702,"Apr 18, 2010",538.99,534.83,542.85,519.15,46.68M,0.36%
703,"Apr 11, 2010",537.03,567.12,567.12,530.55,31.91M,-3.60%
704,"Apr 04, 2010",557.07,543.10,569.45,543.10,38.84M,2.99%
705,"Mar 28, 2010",540.90,546.67,549.76,530.62,33.85M,-0.76%
706,"Mar 21, 2010",545.06,526.01,550.28,526.01,37.62M,0.77%
707,"Mar 14, 2010",540.90,506.20,543.10,501.79,50.19M,6.90%
708,"Mar 07, 2010",506.00,505.81,511.65,489.39,42.05M,1.17%
709,"Feb 28, 2010",500.16,487.88,515.12,485.10,35.72M,3.15%
710,"Feb 21, 2010",484.88,492.98,495.31,475.07,36.78M,-0.43%
711,"Feb 14, 2010",486.98,508.68,514.30,483.99,35.44M,-3.15%
712,"Feb 07, 2010",502.81,487.88,505.11,482.92,37.80M,3.41%
713,"Jan 31, 2010",486.24,513.88,523.22,482.92,39.82M,-6.17%
714,"Jan 24, 2010",518.19,519.90,522.25,504.27,43.75M,-0.73%
715,"Jan 17, 2010",521.98,548.30,552.98,509.92,48.48M,-5.12%
716,"Jan 10, 2010",550.16,562.02,569.45,520.07,129.27M,0.69%
717,"Jan 03, 2010",546.40,540.43,569.55,506.13,75.24M,1.16%
718,"Dec 27, 2009",540.15,534.43,542.85,529.73,18.00M,1.32%
719,"Dec 20, 2009",533.10,495.80,536.81,490.35,35.14M,6.81%
720,"Dec 13, 2009",499.09,528.99,536.91,497.78,36.71M,-5.94%
721,"Dec 06, 2009",530.60,538.89,541.91,520.07,37.23M,-1.57%
722,"Nov 29, 2009",539.09,526.26,554.74,522.05,38.14M,4.06%
723,"Nov 22, 2009",518.06,534.93,551.25,500.75,75.12M,-1.48%
724,"Nov 15, 2009",525.84,532.21,535.42,511.40,58.07M,0.18%
725,"Nov 08, 2009",524.90,489.11,531.46,485.80,81.38M,8.28%
726,"Nov 01, 2009",484.78,475.51,489.09,446.33,66.23M,1.37%
727,"Oct 25, 2009",478.25,507.69,512.15,475.99,73.36M,-5.68%
728,"Oct 18, 2009",507.03,555.98,565.46,504.62,52.74M,-7.73%
729,"Oct 11, 2009",549.48,525.02,551.27,525.02,58.31M,5.67%
730,"Oct 04, 2009",520.01,534.90,553.63,516.13,80.44M,-3.43%
731,"Sep 27, 2009",538.48,531.34,548.03,529.98,47.79M,1.84%
732,"Sep 20, 2009",528.74,527.18,531.93,509.67,55.49M,1.54%
733,"Sep 13, 2009",520.70,528.74,549.47,512.89,105.26M,-1.79%
734,"Sep 06, 2009",530.19,491.59,554.72,489.49,89.65M,8.06%
735,"Aug 30, 2009",490.64,511.15,511.15,476.31,59.96M,-4.48%
736,"Aug 23, 2009",513.66,485.40,515.12,482.58,55.44M,7.53%
737,"Aug 16, 2009",477.67,497.53,497.78,462.52,60.98M,-5.29%
738,"Aug 09, 2009",504.33,502.85,511.15,481.26,64.42M,1.94%
739,"Aug 02, 2009",494.75,487.60,526.26,484.93,77.92M,2.17%
740,"Jul 26, 2009",484.26,482.92,494.07,463.36,93.32M,-3.05%
741,"Jul 19, 2009",499.48,485.40,517.27,482.92,70.87M,4.12%
742,"Jul 12, 2009",479.72,433.32,487.48,425.24,80.17M,9.12%
743,"Jul 05, 2009",439.62,507.19,508.18,432.15,102.64M,-12.45%
744,"Jun 28, 2009",502.15,501.74,540.63,490.35,75.14M,-0.08%
745,"Jun 21, 2009",502.54,507.12,507.69,470.54,99.30M,-0.60%
746,"Jun 14, 2009",505.58,584.39,584.39,489.63,114.06M,-13.57%
747,"Jun 07, 2009",584.98,546.57,589.17,538.64,78.16M,6.75%
748,"May 31, 2009",547.99,577.03,577.03,534.93,73.70M,-2.60%
749,"May 24, 2009",562.64,544.84,571.51,527.62,87.66M,3.94%
750,"May 17, 2009",541.31,531.71,627.80,517.84,103.76M,12.05%
751,"May 10, 2009",483.10,475.25,489.21,456.42,83.87M,2.65%
752,"May 03, 2009",470.61,458.40,479.98,454.69,87.64M,5.21%
753,"Apr 26, 2009",447.32,443.55,450.73,428.69,50.45M,0.97%
754,"Apr 19, 2009",443.01,425.96,446.27,417.22,97.20M,4.19%
755,"Apr 12, 2009",425.21,435.86,455.68,421.59,92.44M,-1.08%
756,"Apr 05, 2009",429.86,421.01,437.81,397.48,79.34M,4.48%
757,"Mar 29, 2009",411.44,376.70,416.06,370.24,92.28M,7.27%
758,"Mar 22, 2009",383.55,335.32,392.13,335.32,146.96M,15.65%
759,"Mar 15, 2009",331.66,318.05,337.30,314.77,93.27M,4.28%
760,"Mar 08, 2009",318.05,287.52,320.41,281.87,49.77M,9.77%
761,"Mar 01, 2009",289.73,304.29,312.96,276.21,112.38M,-7.59%
762,"Feb 22, 2009",313.54,305.85,321.21,297.52,65.31M,1.01%
763,"Feb 15, 2009",310.41,342.86,345.98,307.09,79.46M,-9.98%
764,"Feb 08, 2009",344.83,335.57,350.21,332.10,86.77M,3.53%
765,"Feb 01, 2009",333.06,319.47,335.02,314.80,99.70M,1.61%
766,"Jan 25, 2009",327.79,293.72,329.58,289.75,84.71M,14.48%
767,"Jan 18, 2009",286.32,303.28,330.62,274.18,116.95M,-5.03%
768,"Jan 11, 2009",301.48,282.25,304.86,263.75,134.99M,5.56%
769,"Jan 04, 2009",285.61,321.70,344.24,270.85,119.22M,-10.35%
770,"Dec 28, 2008",318.58,297.18,321.92,294.21,93.32M,6.30%
771,"Dec 21, 2008",299.70,323.19,334.93,298.17,64.62M,-10.44%
772,"Dec 14, 2008",334.65,334.08,348.45,315.06,183.28M,3.38%
773,"Dec 07, 2008",323.71,285.35,327.89,274.15,135.28M,16.96%
774,"Nov 30, 2008",276.78,278.68,292.73,253.84,145.66M,-1.48%
775,"Nov 23, 2008",280.95,291.38,294.41,260.28,124.50M,0.90%
776,"Nov 16, 2008",278.45,284.80,302.59,255.60,167.14M,-1.95%
777,"Nov 09, 2008",284.00,309.64,324.12,269.28,126.45M,-6.06%
778,"Nov 02, 2008",302.32,356.37,372.77,285.12,168.61M,-11.25%
779,"Oct 26, 2008",340.63,254.38,345.46,230.32,119.86M,34.91%
780,"Oct 19, 2008",252.48,329.37,352.90,245.18,139.82M,-21.94%
781,"Oct 12, 2008",323.45,385.84,413.08,318.68,127.89M,-14.50%
782,"Oct 05, 2008",378.31,428.19,433.14,365.78,115.39M,-13.28%
783,"Sep 28, 2008",436.23,489.11,491.59,432.31,109.12M,-10.28%
784,"Sep 21, 2008",486.19,520.07,522.55,484.46,100.29M,-4.47%
785,"Sep 14, 2008",508.95,467.99,513.12,437.11,110.79M,6.33%
786,"Sep 07, 2008",478.63,542.36,542.36,475.42,85.47M,-7.12%
787,"Aug 31, 2008",515.34,525.02,557.22,511.40,43.20M,-2.59%
788,"Aug 24, 2008",529.04,546.16,565.89,508.38,64.11M,-4.84%
789,"Aug 17, 2008",555.93,567.12,567.12,543.70,44.88M,-1.40%
790,"Aug 10, 2008",563.83,557.50,588.42,557.50,49.81M,1.11%
791,"Aug 03, 2008",557.66,581.93,581.93,546.07,77.40M,-1.99%
792,"Jul 27, 2008",569.01,532.47,572.82,513.88,64.85M,7.01%
793,"Jul 20, 2008",531.73,532.21,579.12,518.35,86.17M,1.60%
794,"Jul 13, 2008",523.34,495.31,526.76,475.49,77.90M,4.82%
795,"Jul 06, 2008",499.29,517.61,525.02,478.04,73.82M,-3.90%
796,"Jun 29, 2008",519.55,539.88,549.02,492.83,112.60M,-3.88%
797,"Jun 22, 2008",540.54,515.12,559.67,484.47,127.92M,3.98%
798,"Jun 15, 2008",519.87,581.98,581.98,513.95,64.33M,-7.54%
799,"Jun 08, 2008",562.27,540.38,569.58,522.79,94.13M,1.43%
800,"Jun 01, 2008",554.37,601.30,605.26,538.64,92.59M,-6.86%
801,"May 25, 2008",595.23,629.04,641.37,591.95,57.66M,-5.97%
802,"May 18, 2008",633.05,650.09,662.47,631.51,38.62M,-3.02%
803,"May 11, 2008",652.74,621.87,655.78,613.46,47.67M,4.24%
804,"May 04, 2008",626.16,662.50,670.89,621.61,49.09M,-5.47%
805,"Apr 27, 2008",662.41,651.57,749.40,638.94,39.07M,1.92%
806,"Apr 20, 2008",649.96,651.25,663.71,633.09,59.91M,-0.59%
807,"Apr 13, 2008",653.81,622.82,673.12,615.75,41.90M,3.47%
808,"Apr 06, 2008",631.90,558.77,635.72,558.77,63.35M,9.93%
809,"Mar 30, 2008",574.84,570.84,607.44,555.61,57.70M,-1.33%
810,"Mar 23, 2008",582.59,534.93,586.42,526.36,66.73M,8.95%
811,"Mar 16, 2008",534.71,559.97,580.75,525.02,48.76M,-7.04%
812,"Mar 09, 2008",575.20,547.53,601.40,525.61,76.29M,3.31%
813,"Mar 02, 2008",556.78,594.32,594.32,536.48,55.90M,-8.74%
814,"Feb 24, 2008",610.08,617.89,653.31,596.84,49.02M,1.19%
815,"Feb 17, 2008",602.90,643.90,648.35,598.08,35.17M,-6.15%
816,"Feb 10, 2008",642.40,597.83,643.90,553.50,75.16M,6.91%
817,"Feb 03, 2008",600.90,628.05,654.30,591.89,53.21M,-4.58%
818,"Jan 27, 2008",629.72,635.23,655.04,587.18,61.66M,-2.78%
819,"Jan 20, 2008",647.71,688.42,699.62,525.02,130.24M,-6.58%
820,"Jan 13, 2008",693.33,782.33,816.76,688.47,91.70M,-10.49%
821,"Jan 06, 2008",774.56,736.72,777.63,733.05,79.55M,4.50%
822,"Dec 30, 2007",741.22,719.06,747.86,696.23,52.93M,3.39%
823,"Dec 23, 2007",716.92,685.01,725.62,668.17,46.44M,6.68%
824,"Dec 16, 2007",672.04,705.82,715.22,656.66,56.66M,-6.06%
825,"Dec 09, 2007",715.38,705.81,724.63,693.75,60.60M,1.66%
826,"Dec 02, 2007",703.69,715.27,739.99,694.01,51.78M,-0.36%
827,"Nov 25, 2007",706.22,710.12,719.42,685.75,61.00M,1.44%
828,"Nov 18, 2007",696.20,714.51,719.68,659.99,65.93M,-2.45%
